"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"182","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:18,FALSE,NA,"982032459029188614",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rickblainephoto",11186,TRUE,FALSE,NA,NA
"183","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:12,FALSE,NA,"982032436971253760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Colleen4tim",11186,TRUE,FALSE,NA,NA
"184","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:10,FALSE,NA,"982032426410151937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","duxfeminafactii",11186,TRUE,FALSE,NA,NA
"185","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:09:06,FALSE,NA,"982032410354139136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","edenwillow",11186,TRUE,FALSE,NA,NA
"186","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:47,FALSE,NA,"982032328930213889",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","bend_time",11186,TRUE,FALSE,NA,NA
"187","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:46,FALSE,NA,"982032325298057217",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","David_Engelson",11186,TRUE,FALSE,NA,NA
"188","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:08:38,FALSE,NA,"982032292792193026",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheJessicaTate",345,TRUE,FALSE,NA,NA
"189","RT @Nightline: This four-month-old okapi has been named after Meghan Markle in celebration of the forthcoming royal wedding: https://t.co/D…",FALSE,0,NA,2018-04-05 23:08:37,FALSE,NA,"982032290380312576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BobbyJHays",1,TRUE,FALSE,NA,NA
"190","RT @NYinLA2121: Oh man, I hate for this to trend, cause it would make Trump furious so don’t Retweet this cause we want to be respectful to…",FALSE,0,NA,2018-04-05 23:08:24,FALSE,NA,"982032233258250240",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","dostert_michele",11186,TRUE,FALSE,NA,NA
"191","RT @NJAInteriors1: Hey @realDonaldTrump did you know the OBAMAS AND the CLINTONS are all invited to the Royal Wedding? 

That’s fricking aw…",FALSE,0,NA,2018-04-05 23:08:22,FALSE,NA,"982032226039676928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rdeshawn10",345,TRUE,FALSE,NA,NA
